    Year (Census)
    Proportion of populations extant, SE
    Proportion of populations going extinct for the first time in year, SE
    Deterministic growth, Stochastic growth, SE, SD
    Mean population size (across extant populations), SE, SD
    Mean population size (across all populations), SE, SD
    Population-based model: No genetic data (12 skipped fields)



    Mean time to extinction, SE, SD
    Median time to extinction
    GSVars(3): Mean, SE, SD
Year;PExtant;SE(PExtant);PExtinct;SE(PExtinct);r-det;r-stoch;SE(r);SD(r);Nextant;SE(Nextant);SD(Nextant);Nall;SE(Nall);SD(Nall);Het;SE(Het);SD(Het);Inbr;SE(Inbr);SD(Inbr);Nalleles;SE(Nalleles);SD(Nalleles);Nlethals;SE(Nlethals);SD(Nlethals);TE;SE(TE);SD(TE);medTE;NRANDx;SE(NRANDx);SD(NRANDx);immigBord;SE(immigBord);SD(immigBord);immigSC;SE(immigSC);SD(immigSC)
Control_11
Population 1: Border
0; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668;      0;      0;      0; 632.00; 0.00; 0.00; 632.00; 0.00; 0.00; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0162; 0.0001; 0.9995; 14.4856; 0.0006; 6.3456; 2.4947; 0.0001; 1.1225
1; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1061; 0.0058; 0.5774; 806.08; 3.70; 369.86; 806.08; 0.04; 369.86; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0059; 0.0001; 1.0033; 14.4918; 0.0006; 6.3874; 2.5096; 0.0001; 1.1189
2; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.0964; 0.0057; 0.5710; 1011.01; 6.81; 681.07; 1011.01; 0.07; 681.07; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0013; 0.0001; 1.0180; 14.4478; 0.0006; 6.2893; 2.5040; 0.0001; 1.1133
3; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1079; 0.0057; 0.5664; 1286.40; 11.25; 1125.22; 1286.40; 0.11; 1125.22; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; -0.0035; 0.0001; 0.9976; 14.5380; 0.0006; 6.3616; 2.5024; 0.0001; 1.1127
4; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1144; 0.0056; 0.5650; 1616.69; 17.01; 1700.99; 1616.69; 0.17; 1700.99; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; -0.0064; 0.0001; 0.9871; 14.4064; 0.0006; 6.3005; 2.5001; 0.0001; 1.1269
5; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1082; 0.0058; 0.5767; 2030.18; 24.86; 2486.00; 2030.18; 0.25; 2486.00; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; -0.0016; 0.0001; 1.0053; 14.5534; 0.0006; 6.3448; 2.4947; 0.0001; 1.1122
6; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.0956; 0.0058; 0.5797; 2546.34; 36.19; 3618.86; 2546.34; 0.36; 3618.86; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0071; 0.0001; 0.9950; 14.4554; 0.0006; 6.3757; 2.5065; 0.0001; 1.1144
7; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1004; 0.0058; 0.5827; 3189.93; 51.07; 5107.25; 3189.93; 0.51; 5107.25; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; -0.0014; 0.0001; 0.9958; 14.5305; 0.0006; 6.3793; 2.5001; 0.0001; 1.1086
